id,continent,region,area,terrain,religion,climate,culture,goods,name,colonization difficulty,manpower,tax
1,America,North America,Alaska,hill,pagan,arctic,inuit,fur,Yukon,9,1,1
2,America,North America,Alaska,hill,pagan,arctic,inuit,fur,Kitimat,8,1,1
3,America,North America,Alaska,forest,pagan,arctic,inuit,fur,Sitka,7,1,1
4,America,North America,Oregon,hill,pagan,ncontinental,navajo,fur,Nanaimo,7,1,2
5,America,North America,Oregon,hill,pagan,ncontinental,navajo,fur,Olympia,6,1,3
6,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Columbia,4,1,5
7,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Nehalem,5,1,3
8,America,North America,California,plains,pagan,temperate,navajo,wine,Sacramento,2,2,7
9,America,North America,California,hill,pagan,temperate,navajo,wine,Monterey,4,1,5
10,America,North America,California,hill,pagan,temperate,navajo,wool,Sierra Madre,4,1,4
11,America,North America,California,desert,pagan,temperate,navajo,wool,San Bernardino,3,2,5
12,America,Central America,Sonora,hill,pagan,desertic,navajo,wool,Ensenada,8,1,1
13,America,Central America,Sonora,hill,pagan,desertic,navajo,wool,Baja,8,1,1
14,America,North America,Nevada,desert,pagan,desertic,navajo,salt,Salton,9,1,1
15,America,Central America,Sonora,desert,pagan,desertic,navajo,gold,Altar,6,1,1
16,America,North America,Nevada,desert,pagan,desertic,navajo,wool,Canyon,9,1,1
17,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Empalme,7,1,1
18,America,North America,Nevada,hill,pagan,desertic,navajo,wool,Arizona,9,1,1
19,America,North America,Nevada,hill,pagan,temperate,navajo,wool,Pinalero,8,1,1
20,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Chihuahua,7,1,1
21,America,Central America,Sonora,hill,pagan,desertic,navajo,grain,Mazatlan,7,1,1
22,America,North America,Nevada,plains,pagan,temperate,navajo,wool,El Paso,7,1,2
23,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Coahuilha,7,1,1
24,America,Central America,Azteca,hill,pagan,temperate,aztec,gold,Jalisco,3,1,5
25,America,Central America,Sonora,plains,pagan,temperate,aztec,gold,Saltillo,6,1,2
26,America,Central America,Azteca,hill,pagan,temperate,aztec,gold,Michoac�n,3,3,7
27,America,Central America,Azteca,hill,pagan,temperate,aztec,gold,Zacatecas,3,3,8
28,America,Central America,Sonora,plains,pagan,temperate,aztec,sugar,Tampico,6,2,3
29,America,Central America,Azteca,plains,pagan,tropical,zapotec,grain,Tlaxcala,4,2,5
30,America,Central America,Azteca,plains,pagan,tropical,zapotec,fish,Atlixco,4,1,5
31,America,Central America,Azteca,hill,pagan,tropical,zapotec,chinaware,Tehuantepec,3,1,3
32,America,Central America,Azteca,marsh,pagan,tropical,mayan,wool,Tehuacan,5,1,5
33,America,Central America,Costa Rica,hill,pagan,tropical,mayan,chinaware,Guatemala,4,1,3
34,America,Central America,Costa Rica,marsh,pagan,tropical,mayan,chinaware,Campeche,6,1,4
35,America,Central America,Costa Rica,forest,pagan,tropical,mayan,chinaware,Yucatan,7,1,2
36,America,Central America,Costa Rica,forest,pagan,tropical,mesoamerican,wool,Honduras,5,1,3
37,America,Central America,Costa Rica,marsh,pagan,tropical,mesoamerican,wool,Nicaragua,6,1,1
38,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,grain,Mosquitos,7,1,3
39,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,naval_supplies,Isthmus,6,1,2
40,America,North America,Texas,plains,pagan,temperate,navajo,wool,Pecos,6,1,2
41,America,North America,Texas,plains,pagan,temperate,navajo,wool,Rio Grande,4,1,3
42,America,North America,Texas,plains,pagan,temperate,navajo,grain,Concho,5,1,2
43,America,North America,Texas,marsh,pagan,temperate,navajo,grain,Matagorda,5,1,3
44,America,North America,Texas,plains,pagan,temperate,navajo,grain,Wichita,5,1,3
45,America,North America,Louisiane,marsh,pagan,temperate,navajo,cotton,Bayou,6,1,5
46,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Biloxi,6,1,5
47,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Mobile,4,1,5
48,America,North America,Florida,marsh,pagan,temperate,creek,cotton,Talahassee,5,1,4
49,America,North America,Florida,marsh,pagan,temperate,creek,naval_supplies,Seminole,7,1,2
50,America,North America,Florida,marsh,pagan,tropical,creek,fish,Everglades,8,1,1
51,America,North America,Louisiane,plains,pagan,temperate,navajo,cotton,Arkansas,5,1,3
52,America,North America,Louisiane,forest,pagan,ncontinental,cherokee,cotton,Yazoo,5,1,4
53,America,North America,Louisiane,forest,pagan,temperate,cherokee,cotton,Tuscaloosa,5,2,4
54,America,North America,Georgia,marsh,pagan,temperate,creek,cotton,Savannah,5,2,5
55,America,North America,Georgia,hill,pagan,ncontinental,cherokee,cotton,Alabama,5,2,4
56,America,North America,Georgia,forest,pagan,ncontinental,cherokee,grain,Tennessee,6,2,3
57,America,North America,Louisiane,plains,pagan,ncontinental,native,grain,Mississippi,4,2,3
58,America,North America,Kansas,plains,pagan,tundra,native,grain,Missouri,6,2,3
59,America,North America,Illinois,forest,pagan,tundra,native,grain,Illinois,5,2,4
60,America,North America,Illinois,forest,pagan,tundra,shawnee,grain,Miamis,5,1,3
61,America,North America,Appalachia,hill,pagan,ncontinental,cherokee,fur,Alleghany,6,1,3
62,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Carolina,5,2,5
63,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Santee,5,2,4
64,America,North America,Appalachia,marsh,pagan,temperate,creek,tobacco,Roanoke,6,2,6
65,America,North America,Appalachia,forest,pagan,ncontinental,cherokee,tobacco,Catawba,5,1,4
66,America,North America,Appalachia,hill,pagan,ncontinental,cherokee,naval_supplies,Appalache,7,1,3
67,America,North America,Ohio,forest,pagan,tundra,cherokee,fur,Kentucky,5,2,3
68,America,North America,Appalachia,marsh,pagan,ncontinental,iroquis,tobacco,Chesapeake,4,2,6
69,America,North America,Appalachia,forest,pagan,tundra,iroquis,tobacco,Powhatan,4,2,7
70,America,North America,Appalachia,hill,pagan,tundra,iroquis,iron,Shenandoah,5,2,5
71,America,North America,Ohio,forest,pagan,tundra,shawnee,fur,Erie,6,3,3
72,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Hindua,6,2,3
73,America,North America,Illinois,forest,pagan,tundra,shawnee,fur,Fox,5,2,3
74,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Milwaukee,5,2,3
75,America,North America,Kansas,plains,pagan,tundra,dakota,grain,Iowa,6,1,3
76,America,North America,Kansas,plains,pagan,arctic,dakota,grain,Minnesota,7,1,3
77,America,North America,Plaines,forest,pagan,arctic,dakota,fur,Mesabi,7,1,2
78,America,North America,Illinois,forest,pagan,arctic,dakota,fur,Duluth,6,2,3
79,America,North America,Plaines,forest,pagan,tundra,dakota,fur,Wisconsin,7,2,2
80,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Oskosh,6,2,2
81,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Michilimakinak,6,1,3
82,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Detroit,5,1,3
83,America,North America,Ohio,hill,pagan,tundra,iroquis,fur,Irondekoit,7,2,2
84,America,North America,Appalachia,forest,pagan,tundra,iroquis,fur,Tuscarora,5,2,4
85,America,North America,Appalachia,forest,pagan,tundra,iroquis,grain,Susquehanna,5,2,6
86,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,tobacco,Delaware,4,3,6
87,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,fur,Manhattan,4,2,7
88,America,North America,Appalachia,hill,pagan,tundra,iroquis,fur,Catskill,5,1,4
89,America,North America,Ohio,hill,pagan,tundra,iroquis,fur,Oswego,6,1,2
90,America,North America,Ohio,hill,pagan,tundra,iroquis,fur,Mohawk,7,2,3
91,America,North America,Ohio,forest,pagan,tundra,iroquis,fur,Onondaga,7,2,3
92,America,North America,Grand Lacs,forest,pagan,tundra,iroquis,fur,Niagara,4,2,4
93,America,North America,Grand Lacs,forest,pagan,tundra,dakota,fur,Sault,7,1,3
94,America,North America,Plaines,forest,pagan,arctic,huron,fur,Superior,8,2,2
95,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipigon,7,1,2
96,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipissing,7,1,2
97,America,North America,Grand Lacs,forest,pagan,tundra,iroquis,grain,Oshawa,4,2,3
98,America,North America,Grand Lacs,forest,pagan,tundra,huron,fur,Huron,5,4,5
99,America,North America,Appalachia,hill,pagan,tundra,huron,fur,Ticonderoga,5,2,5
100,America,North America,Appalachia,hill,pagan,tundra,iroquis,fur,Adirondak,5,2,5
101,America,North America,Maine,forest,pagan,tundra,iroquis,naval_supplies,Sebago,6,1,4
102,America,North America,Maine,forest,pagan,ncontinental,iroquis,grain,Connecticut,5,2,5
103,America,North America,Maine,forest,pagan,ncontinental,iroquis,fish,Massachusetts,5,2,5
104,America,North America,Maine,forest,pagan,tundra,abenaki,naval_supplies,Penobscot,6,1,4
105,America,North America,Maine,hill,pagan,tundra,abenaki,fur,Megantic,5,1,4
106,America,North America,Quebec,forest,pagan,tundra,huron,fur,Hochelaga,5,1,4
107,America,North America,Quebec,forest,pagan,arctic,huron,fur,Ottawa,5,2,5
108,America,North America,Quebec,forest,pagan,arctic,native,fur,Laurentia,5,1,3
109,America,North America,Quebec,forest,pagan,tundra,native,grain,Shawinigan,5,1,4
110,America,North America,Quebec,forest,pagan,tundra,native,naval_supplies,Stadacone,5,3,5
